1917,1999
1984,1974
5.15 The Angels Have Gone,2002
87 and Cry,1987
Abdulmajid,1991
Absolute Beginners,1986
Across the Universe,1975
Afraid,2002
African Night Flight,1979
After All,1970
After Today,1989
Alabama Song,1980
Aladdin Sane,1973
Algeria Touchshriek,1995
All Saints,1991
All the Madmen,1970
All The Young Dudes,1974
Always Crashing in the Same Car,1977
Amsterdam,1973
And I Say to Myself,1966
Andy Warhol,1971
"Anyway, Anyhow, Anywhere",1973
Art Decade,1977
As The World Falls Down,1986
Ashes to Ashes,1980
Atomica,2013
Baal's Hymn,1982
Baby Grace (A Horrid Cassette),1995
Baby Loves That Way,1965
Ballad of the Adventurers,1982
Bang Bang,1987
Bars of the County Jail,1991
Battle for Britain (The Letter),1997
Be My Wife,1977
Beat of Your Drum,1987
Beauty and the Beast,1977
Because You're Young,1980
A Better Future,2002
The Bewlay Brothers,1971
Big Brother,1974
Black Country Rock,1970
Black Tie White Noise,1993
Blackout,1977
Blackstar,2015
"Bleed Like a Craze, Dad",1993
Blue Jean,1984
Bombers,1990
Born in a UFO,2013
Boss of Me,2013
Boys Keep Swinging,1979
Breaking Glass,1977
Brilliant Adventure,1999
Bring Me the Disco King,2003
Buddha of Suburbia,1993
Cactus,2002
Can You Hear Me,1975
Can't Help Thinking About Me,1966
Candidate,1974
Cat People (Putting Out The Fire),1982
Changes,1971
Chant of the Ever Circling Skeletal Family,1974
Chilly Down,1986
China Girl,1983
Ching-a-Ling,1984
Come and Buy My Toys,1967
Conversation Piece,1970
Cracked Actor,1973
Criminal World,1983
Crystal Japan,1980
Cygnet Committee,1969
Dancing in the Street (with Mick Jagger),1985
Dancing Out in Space,2013
Dancing with the Big Boys,1984
Day-In Day-Out,1987
Days,2003
Dead Against It,1993
Dead Man Walking,1997
Diamond Dogs,1974
Did You Ever Have a Dream,1967
Dirty Boys,2013
The Dirty Song,1982
D.J.,1979
Do Anything You Say,1966
Dodo,1989
Dollar Days,2016
Don't Bring Me Down,1973
Don't Let Me Down & Down,1993
Don't Look Down,1984
Don't Sit Down,1969
The Dreamers,1999
Drive-In Saturday,1973
The Drowned Girl,1982
Eight Line Poem,1971
Everyone Says 'Hi',2002
Everything's Alright,1973
Fall Dog Bombs the Moon,2003
Fame,1975
Fantastic Voyage,1979
Fascination,1975
Fashion,1980
Fill Your Heart,1971
Five Years,1972
Fly,2003
A Foggy Day (in London Town),1998
Footstompin' / I Wish I Could Shimmy Like My Sister Kate,1974
Friday on My Mind,1973
Future Legend,1974
Get Real,1995
Girl Loves Me,2016
Girls,1987
Glad I've Got Nobody,1991
Glass Spider,1987
God Bless the Girl,2013
God Knows I'm Good,1969
God Only Knows,1984
Golden Years,1975
Good Morning Girl,1966
The Gospel According to Tony Day,1967
Growin' Up,1990
Gunman,1990
Hallo Spaceboy,1995
Hang On to Yourself,1971
The Hearts Filthy Lesson,1995
Heat,2013
Heathen,2002
Helden,1977
Here Comes the Night,1973
"Here Today, Gone Tomorrow",1990
&quot;Heroes&quot;,1977
Hole in the Ground,2011
Holy Holy,1971
How Does the Grass Grow?,2013
I Can't Explain,1973
I Can't Give Everything Away,2016
I Can't Read,1997
I Dig Everything,1966
I Feel Free,1993
I Have Not Been to Oxford Town,1995
I Keep Forgettin',1984
I Know It's Gonna Happen Someday,1993
I Pity the Fool (with the Manish Boys),1965
"I Pray, Olé",1991
I Took a Trip on a Gemini Spaceship,2002
I Want My Baby Back,1991
I Wish You Would,1973
I Would Be Your Slave,2002
I'd Rather Be High,2013
I'll Follow You,1991
I'll Take You There,2013
I'm Afraid of Americans,1995
I'm Deranged,1995
I'm Not Losing Sleep,1966
I've Been Waiting for You,2002
"Ian Fish, U.K. Heir",1993
If I'm Dreaming My Life,1999
If You Can See Me,2013
In the Heat of the Morning,1970
The Informer,2013
It Ain't Easy,1972
It's Gonna Be Me,1991
It's Hard to Be a Saint in the City,1989
It's No Game (No. 1),1980
It's No Game (No. 2),1980
Janine,1969
The Jean Genie,1973
Joe the Lion,1977
"John, I'm Only Dancing",1972
"John, I'm Only Dancing (Again)",1979
Join the Gang,1967
Julie,1987
Jump They Say,1993
Just for One Day (Heroes),2003
Karma Man,1970
Killing a Little Time,2017
